epoch,lr,step,train_loss,train_triplet_violation,val_loss,val_triplet_violation
0,,155,,,0.14358961582183838,1.0
0,9.999999747378752e-05,155,0.20896770060062408,1.0,,
1,,311,,,0.11776827275753021,0.875
1,9.999999747378752e-05,311,0.1373782902956009,0.9743589758872986,,
2,,467,,,0.11455712467432022,0.800000011920929
2,9.999999747378752e-05,467,0.09647157043218613,0.807692289352417,,
3,,623,,,0.10700080543756485,0.75
3,9.999999747378752e-05,623,0.0919918492436409,0.7180488705635071,,
4,,779,,,0.09585799276828766,0.7250000238418579
4,9.999999747378752e-05,779,0.08711816370487213,0.6217948794364929,,
5,,935,,,0.03704506903886795,0.375
5,9.999999747378752e-05,935,0.05809701979160309,0.5065104365348816,,
6,,1091,,,0.020347097888588905,0.25
6,9.999999747378752e-05,1091,0.04011376574635506,0.35907453298568726,,
7,,1247,,,0.03367834538221359,0.5249999761581421
7,9.999999747378752e-05,1247,0.041297681629657745,0.3335336446762085,,
8,,1403,,,0.0632840245962143,0.625
8,9.999999747378752e-05,1403,0.03658968210220337,0.3717948794364929,,
9,,1559,,,0.04440384358167648,0.5
9,9.999999747378752e-05,1559,0.046992819756269455,0.42307692766189575,,
10,,1715,,,0.04131549596786499,0.5
10,9.999999747378752e-05,1715,0.019558219239115715,0.25,,
11,,1871,,,0.05367381125688553,0.451171875
11,4.999999873689376e-05,1871,0.012446396984159946,0.11538461595773697,,
