epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_loss
0,,311,,,0.7888000011444092,0.8474642038345337,0.16388781368732452
0,0.0010000000474974513,311,0.7856342196464539,0.1578110009431839,,,
1,,623,,,0.8100000023841858,0.89320969581604,0.13461007177829742
1,0.0010000000474974513,623,0.8022781014442444,0.14292028546333313,,,
2,,935,,,0.8895999789237976,0.9538240432739258,0.08467543870210648
2,0.0010000000474974513,935,0.8174707293510437,0.13336484134197235,,,
3,,1247,,,0.8996000289916992,0.9615978002548218,0.07630786299705505
3,0.0010000000474974513,1247,0.8632983565330505,0.107894666492939,,,
4,,1559,,,0.946399986743927,0.9856330156326294,0.05011428892612457
4,0.0010000000474974513,1559,0.8966841101646423,0.08400589227676392,,,
5,,1871,,,0.9452000260353088,0.9766467213630676,0.04983418434858322
5,0.0010000000474974513,1871,0.9260122776031494,0.06966262310743332,,,
6,,2183,,,0.9603999853134155,0.9940537810325623,0.0358639694750309
6,0.0010000000474974513,2183,0.9444006085395813,0.05350260064005852,,,
7,,2495,,,0.9628000259399414,0.991189181804657,0.03457013517618179
7,0.0010000000474974513,2495,0.9569224119186401,0.04510021582245827,,,
8,,2807,,,0.9775999784469604,0.9981178641319275,0.021737098693847656
8,0.0010000000474974513,2807,0.9539245367050171,0.04620583727955818,,,
9,,3119,,,0.980400025844574,0.9972096085548401,0.022859947755932808
9,0.0010000000474974513,3119,0.9624140858650208,0.039071209728717804,,,
10,,3431,,,0.9688000082969666,0.9830365180969238,0.03354527801275253
10,0.0010000000474974513,3431,0.9706407189369202,0.034081634134054184,,,
11,,3743,,,0.9832000136375427,0.9949928522109985,0.02189788594841957
11,0.0010000000474974513,3743,0.9671604633331299,0.03259359300136566,,,
12,,4055,,,0.9696000218391418,0.9950463175773621,0.026962069794535637
12,0.0010000000474974513,4055,0.9711978435516357,0.032221801578998566,,,
13,,4367,,,0.9764000177383423,0.9957023859024048,0.02091236785054207
13,0.0005000000237487257,4367,0.9739682078361511,0.027793215587735176,,,
14,,4679,,,0.9824000000953674,0.9960147738456726,0.01661815494298935
14,0.0005000000237487257,4679,0.9801042079925537,0.021226579323410988,,,
15,,4991,,,0.9783999919891357,0.9967069625854492,0.01649569533765316
15,0.0005000000237487257,4991,0.9819782972335815,0.02072913758456707,,,
16,,5303,,,0.9800000190734863,0.9969232678413391,0.01643899269402027
16,0.0005000000237487257,5303,0.9874972701072693,0.017637627199292183,,,
17,,5615,,,0.9847999811172485,0.9974508881568909,0.014179248362779617
17,0.0005000000237487257,5615,0.9833961129188538,0.018341410905122757,,,
18,,5927,,,0.9883999824523926,0.997637927532196,0.013628369197249413
18,0.0005000000237487257,5927,0.9838285446166992,0.020485684275627136,,,
19,,6239,,,0.9876000285148621,0.9969909191131592,0.012830059975385666
19,0.0005000000237487257,6239,0.9892654418945312,0.016444934532046318,,,
20,,6551,,,0.9811999797821045,0.9951049089431763,0.019043976441025734
20,0.0005000000237487257,6551,0.9875642657279968,0.01638036221265793,,,
21,,6863,,,0.9824000000953674,0.9984465837478638,0.01533995009958744
21,0.0005000000237487257,6863,0.986326277256012,0.01678863912820816,,,
22,,7175,,,0.9811999797821045,0.9976816177368164,0.014099941588938236
22,0.0005000000237487257,7175,0.9897148013114929,0.01485851313918829,,,
23,,7487,,,0.9872000217437744,0.998445987701416,0.012565810233354568
23,0.0005000000237487257,7487,0.9878503680229187,0.01497750822454691,,,
24,,7799,,,0.9815999865531921,0.9989744424819946,0.01361292228102684
24,0.0005000000237487257,7799,0.9910517930984497,0.01251483615487814,,,
25,,8111,,,0.9896000027656555,0.9965355396270752,0.01117285992950201
25,0.0005000000237487257,8111,0.990676760673523,0.01254300493746996,,,
26,,8423,,,0.9843999743461609,0.9966635704040527,0.014111175201833248
26,0.0005000000237487257,8423,0.9853599667549133,0.016216283664107323,,,
27,,8735,,,0.9855999946594238,0.9975791573524475,0.0123417554423213
27,0.0005000000237487257,8735,0.9854104518890381,0.015368936583399773,,,
28,,9047,,,0.9860000014305115,0.997161865234375,0.011829311959445477
28,0.0005000000237487257,9047,0.9911379814147949,0.011901873163878918,,,
29,,9359,,,0.9807999730110168,0.9963973760604858,0.017183059826493263
29,0.0005000000237487257,9359,0.9908071756362915,0.01105174608528614,,,
